"class_name","floor_no","building_name","deptID"
"Heat Engines Lab(ME)","Ground floor","KE BLOCK","D004"
"Project Fabrication and Display Room","Ground floor","KE BLOCK","D008"
"Electrical Workshop(EEE)","Ground floor","KE BLOCK","D006"
"Physical Education","Ground floor","KE BLOCK","D008"
"Project Display Room(CE)","Ground floor","KE BLOCK","D003"
"Survey Lab(CE)","Ground floor","KE BLOCK","D003"
"Civil Workshop(CE)","Ground floor","KE BLOCK","D003"
"Hydraulic Machines Lab(ME)","Ground floor","KE BLOCK","D004"
"Chapel","Ground floor","KE BLOCK","D008"
"Main Lobby","Ground floor","KE BLOCK","D008"
"Indoor Badminton Court","Ground floor","KE BLOCK","D008"
"Metalurgical Testing Lab","1st floor","KE BLOCK","D008"
"Language Lab","1st floor","KE BLOCK","D008"
"Computer Application Lab","1st floor","KE BLOCK","D008"
"Mechanical Measurements Lab(ME)","1st floor","KE BLOCK","D004"
"CAD/CAM Lab(ME)","1st floor","KE BLOCK","D004"
"CNC Room(ME)","1st floor","KE BLOCK","D004"
"Machine Tools Lab(ME)","1st floor","KE BLOCK","D004"
"Mechanical Workshop(ME)","1st floor","KE BLOCK","D004"
"Transportation Lab(CE)","1st floor","KE BLOCK","D003"
"Environmental Lab(CE)","1st floor","KE BLOCK","D003"
"Mechanical Systems Lab(ME)","1st floor","KE BLOCK","D004"
"Staff room(EEE)","2nd floor","KE BLOCK","D006"
"Staff room(IT)","2nd floor","KE BLOCK","D001"
"ULYSSES LAB","1st floor","MAIN BUILDING","D008"
"BOHR LAB","1st floor","MAIN BUILDING","D008"
"STAFFROOM 4 (CS)","1st floor","MAIN BUILDING","D002"
"HEISENBERG LAB","1st floor","MAIN BUILDING","D008"
"PHOTON LAB","1st floor","MAIN BUILDING","D008"
"QUANTUM LAB","1st floor","MAIN BUILDING","D008"
"CETA","1st floor","MAIN BUILDING","D008"
"DEPT LIBRARY (CS/IT)","1st floor","MAIN BUILDING","D001"
"BASIC ELECTRONICS LAB","1st floor","MAIN BUILDING","D006"
"PROJECT LAB","1st floor","MAIN BUILDING","D008"
"ZUSE LAB","1st floor","MAIN BUILDING","D008"
"STAFFROOM 1 (CS)","1st floor","MAIN BUILDING","D002"
"STAFFROOM 2 (CS)","1st floor","MAIN BUILDING","D002"
"STAFFROOM 3 (CS)","1st floor","MAIN BUILDING","D002"
"HERCULES LAB","1st floor","MAIN BUILDING","D008"
"BORON LAB(PHYSICS)","3rd floor","MAIN BUILDING","D008"
"STAFFROOM","3rd floor","MAIN BUILDING","D008"
"DINING ROOM","3rd floor","MAIN BUILDING","D008"
"DST-serb FUNDED PROJECT","3rd floor","MAIN BUILDING","D008"
"PCB LAB","3rd floor","MAIN BUILDING","D008"
"ENGINEERING CHEMISTRY LAB","3rd floor","MAIN BUILDING","D008"
"STAFFROOM (BASIC SCIENCE & HUMANITIES)","3rd floor","MAIN BUILDING","D008"
"STUDENT WELFARE","3rd floor","MAIN BUILDING","D008"
"DEPT LIBRARY (BASIC SCIENCE)","3rd floor","MAIN BUILDING","D008"
"CONFERENCE ROOM","4th floor","KE BLOCK","D008"
"PRAYER ROOM","4th floor","KE BLOCK","D008"
"EXAMINATION CELL","4th floor","KE BLOCK","D008"
"STAFFROOM 2 (IT)","4th floor","KE BLOCK","D008"
"TUTORIAL HALL 5","4th floor","KE BLOCK","D008"
"TUTORIAL HALL 6","4th floor","KE BLOCK","D008"
"EXAM CONTROL ROOM","4th floor","KE BLOCK","D008"
"LH 19","4th floor","KE BLOCK","D008"
"LH 20","4th floor","KE BLOCK","D008"
"SEMINAR HALL (CIVIL)","4th floor","KE BLOCK","D003"
"STAFFROOM 1 (CIVIL)","4th floor","KE BLOCK","D003"
"STAFFROOM 2 (CIVIL)","4th floor","KE BLOCK","D003"
"DEPT LIBRARY (CIVIL)","4th floor","KE BLOCK","D003"
"DEPT CONFERENCE ROOM","4th floor","KE BLOCK","D003"
"GALLERY HALL","Ground floor","PG BLOCK ENTRANCE","D008"
"SYCAMORE LAB","3rd floor","KE BLOCK","D001"
"STAFFROOM 1 (MECH)","3rd floor","KE BLOCK","D004"
"TUTORIAL HALL 3","3rd floor","KE BLOCK","D008"
"TUTORIAL HALL 4","3rd floor","KE BLOCK","D008"
"STAFFROOM 2 (MECH)","3rd floor","KE BLOCK","D004"
"DEPT LIBRARY (MECH)","3rd floor","KE BLOCK","D004"
"DEPT CONFERENCE ROOM (MECH)","3rd floor","KE BLOCK","D004"
"DRAWING HALL 1","3rd floor","KE BLOCK","D008"
"DRAWING HALL 2","3rd floor","KE BLOCK","D008"
"STAFFROOM 3 (MECH)","3rd floor","KE BLOCK","D004"
"STAFFROOM (EEE)","2nd floor","KE BLOCK","D006"
"STAFFROOM (IT)","2nd floor","KE BLOCK","D001"
"ADVANCED ELECTRICAL MACHINES LAB","2nd floor","KE BLOCK","D008"
"ELECTRICAL MACHINES LAB (EEE)","2nd floor","KE BLOCK","D006"
"POWER ELECTRONICS LAB","2nd floor","KE BLOCK","D008"
"SIMULATION LAB (EEE)","2nd floor","KE BLOCK","D006"
"Heat Engine Lab(Computerised Engine test)","Ground floor","KE BLOCK","D008"
"KLEINROCK LAB","2nd floor","PG BLOCK","D008"
"TURNING LAB","2nd floor","PG BLOCK","D008"
"ELECTRONICS AND ELECTRICALS WORKSHOP","2nd floor","MAIN BUILDING","D006"
"STAFFROOM 3 (ECE)","2nd floor","MAIN BUILDING","D007"
"SIGNAL PROCESSING LAB","2nd floor","MAIN BUILDING","D008"
"STAFFROOM 4 (EC)","2nd floor","MAIN BUILDING","D007"
"COMMUNICATION ENGINEERING","2nd floor","MAIN BUILDING","D007"
"SEMINAR HALL/LIBRARY (EC)","2nd floor","MAIN BUILDING","D007"
"CENTRAL COMPUTING FACILITY","2nd floor","MAIN BUILDING","D008"
"LOGIC DESIGN LAB","2nd floor","MAIN BUILDING","D008"
"EMBEDDED SYSTEM LAB","2nd floor","MAIN BUILDING","D007"
"STAFFROOM 1 (EC)","2nd floor","MAIN BUILDING","D007"
"STAFFROOM 2 (EC)","2nd floor","MAIN BUILDING","D007"
"SIGNAL AND SYSTEM LAB","2nd floor","MAIN BUILDING","D008"
"MULTIMEDIA HALL","Ground floor","MAIN BUILDING","D008"
"SUNYA LAB","Ground floor","MAIN BUILDING","D008"
"STAFFROOM (BASIC SCIENCE)","Ground floor","MAIN BUILDING","D008"
"ALETHEA LIBRARY","Ground floor","MAIN BUILDING","D008"
"RECEPTION","Ground floor","MAIN BUILDING","D008"
"CHAPEL","Ground floor","MAIN BUILDING","D008"
"PRINCIPAL OFFICE","Ground floor","MAIN BUILDING","D008"
"OFFICE","Ground floor","MAIN BUILDING","D008"
"DIRECTOR OFFICE","Ground floor","MAIN BUILDING","D008"
"VICE PRINCIPAL OFFICE","Ground floor","MAIN BUILDING","D008"
"BOARD ROOM","Ground floor","MAIN BUILDING","D008"
"FINANCE","Ground floor","MAIN BUILDING","D008"
"RAJAGIRI RESEARCH & CONSULTANCY CENTRE(CETA)","Ground floor","MAIN BUILDING","D008"
"DINING ROOM 2","4th floor","KE BLOCK","D008"
"DINING ROOM 1","3rd floor","KE BLOCK","D008"
"Ladies Washroom","ALL floors","KE BLOCK","NULL"
"Mens Washroom","ALL floors","KE BLOCK","NULL"
